"","Role","Age","Gender","Race_Eth","School","SQI1","SQI2","SQI3","SQI4","SQI5","SQI6","SQI7","SQI8","SQI9","SQI10","SQI11","SQI12","SQI13","SQI14","SQI15","SQI16","SQI17","SQI18","SQI19","SQI20","SQI21","SQI22","SQI23","SQI24","SQI25","SQI26","SQI27","SQI28","SQI29","SQI30","SQI31","SQI32","SQI33","SQI34","SQI35","SQI36","SQI37","SQI38","SQI39","SQI40","SQI41","SQI42","SQI43","SQI44","SQI45","SQI46","SQI47","SQI48","SQI49","SQI50","SQI51","SQI52","SQI53","SQI54","LEA","State","County","IU","Q166","Q161","Q162","Q163","Q164","ProfessionalRole","Q67","Q68","Q653_1","Q653_2","Q653_3","Q654_1","Q654_2","Q654_3","Q668_1","Q668_2","Q668_3","Q669_1","Q669_2","Q669_3","Q677_1","Q677_2","Q677_3","Q678_1","Q678_2","Q678_3","Q688_1","Q688_2","Q688_3","Q689_1","Q689_2","Q689_3","Q699_1","Q699_2","Q699_3","Q700_1","Q700_2","Q700_3","Q714_1","Q714_2","Q714_3","Q715_1","Q715_2","Q715_3","Q728_1","Q728_2","Q728_3","Q729_1","Q729_2","Q729_3","Q748_1","Q748_2","Q748_3","Q749_1","Q749_2","Q749_3","Q759_1","Q759_2","Q759_3","Q760_1","Q760_2","Q760_3"
"140","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,3,4,3,3,1,4,4,3,3,3,3,4,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,1,3,1,1,3,3,3,3,3,3,1,3,3,3,4,2,2,2,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Postsecondary Education Professional (College, Vocational Training, etc.)","14 to 21","Canon-McMillan High School",3,2,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,4,4,3,3,2,3,3,3,3,4,3,5,4,4
"141","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Staff of Non-Profit Organization (If possible, please list your role and the organization)","14 to 21,Over 21","Other, Please Describe",5,4,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"142","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,3,2,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Transition Coordinator / Specialist","14 to 21","Canon-McMillan High School",4,3,4,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
"143","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,3,3,1,3,4,4,4,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Paraprofessional","14 to 21","Canon-McMillan High School",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"144","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4
"145","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,2,3,2,3,3,2,2,3,4,2,3,2,3,3,3,3,2,2,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Canon-McMillan High School",3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"146","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,4,3,3,3,2,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,3,3,3,3,4,3,4,4,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Agency Staff (If possible, please list your role and the agency)","14 to 21,Over 21","Canon-McMillan High School",5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,4,4,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"147","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,4,3,3,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"School Administrator","14 to 21","Canon-McMillan High School",4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"148","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,2,4,4,3,4,3,4,2,3,4,4,4,3,4,4,3,3,3,2,2,2,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Staff of Non-Profit Organization (If possible, please list your role and the organization)","14 to 21,Over 21","Canon-McMillan High School",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4
"149","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"150","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,1,1,4,4,4,3,3,3,3,3,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"151","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,1,1,3,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"152","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
"153","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"154","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,4,5,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"155","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"156","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Agency Staff (If possible, please list your role and the agency)","14 to 21","Canon-McMillan High School",5,5,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
"157","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,1,1,1,3,3,3,1,1,1,3,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",3,3,3,3,3,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"158","I'm a Transition Stakeholder",NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"159","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"160","I'm a Transition Stakeholder",NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Agency Staff (If possible, please list your role and the agency)","14 to 21","Canon-McMillan High School",1,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"161","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",5,5,5,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"162","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,4,3,4,4,2,3,3,4,4,4,4,4,5,4,5,4,4,4,4,3,4,5,5,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,4
"163","I'm a Transition Stakeholder",NA,NA,NA,NA,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"School Counselor","14 to 21","Canon-McMillan High School",5,5,5,5,5,5,5,5,5,3,4,4,5,5,5,4,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5
"164","I'm a Transition Stakeholder",NA,NA,NA,NA,3,4,3,4,3,3,2,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,3,4,2,4,3,2,3,4,3,2,2,3,2,2,2,4,3,4,4,2,3,4,3,2,4,4,2,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Canon-McMillan High School",4,3,3,2,3,3,4,4,3,4,3,3,4,4,4,3,4,3,4,3,3,5,5,5,5,5,5,5,5,4,5,4,5,4,3,4,3,3,3,3,4,3,4,4,3,4,5,4,4,3,3,4,4,4
"165","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,3,4,4,4,3,3,3,4,4,4,3,4,3,4,3,4,4,4,4,3,3,3,3,3,2,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,2,2,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3
"166","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"167","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,4,4,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",3,3,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"168","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",3,2,3,3,3,3,3,2,3,2,2,2,3,3,3,1,2,1,1,1,1,1,1,1,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"169","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,3,4,4,4,4,3,4,3,3,3,4,3,3,3,1,1,3,4,3,3,3,1,1,3,3,1,3,4,1,1,1,1,3,3,3,3,3,3,3,1,3,3,1,1,3,1,1,1,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,1,1,1,3,2,2,4,3,4,4,3,3,3,3,3,3,1,3,1,1,1,3,2,2,3,1,3,4,4,1,3,1,1,4,1,1
"170","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,3,2,2,3,3,3,3,2,2,3,3,3,3,3,2
"171","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,3,3,1,3,1,1,1,3,1,1,3,4,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"172","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
"173","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,1,1,1,1,2,2,3,2,3,3,3,3,1,2,3,3,3,1,2,2,2,2,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"174","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"Special Education Teacher","Over 21","Canon-McMillan High School",5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"175","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"176","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",5,5,5,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"177","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,2,2,3,3,4,3,3,3,3,3,3,2,1,3,2,2,2,2,2,2,2,3,3,4,3,2,3,1,2,2,3,1,3,1,2,2,2,2,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",4,3,4,3,3,3,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,4,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2
"178","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"179","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,"Canon-McMillan","Pennsylvania","Washington","Intermediate Unit 1 (IU 1)",NA,NA,NA,NA,NA,"General Education Teacher","14 to 21","Canon-McMillan High School",5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,1,1,1,1,1,1,2,2,2,2,2,2
